combo_key,option,match_no,winner_slot,winner_group,third_group
ABCDEGHK,478,85,1B,B,G
ABCDEGHK,478,81,1D,D,B
ABCDEGHK,478,74,1E,E,C
ABCDEGHK,478,82,1G,G,A
ABCDEGHK,478,77,1I,I,D
ABCDEGHK,478,87,1K,K,E
ABCDEGHK,478,80,1L,L,K
ABCDEGHL,477,79,1A,A,H
ABCDEGHL,477,85,1B,B,G
ABCDEGHL,477,81,1D,D,B
ABCDEGHL,477,74,1E,E,C
ABCDEGHL,477,82,1G,G,A
ABCDEGHL,477,77,1I,I,D
ABCDEGHL,477,87,1K,K,L
ABCDEGHL,477,80,1L,L,E
ABCDEGIJ,476,79,1A,A,E
ABCDEGIJ,476,85,1B,B,G
ABCDEGIJ,476,81,1D,D,B
ABCDEGIJ,476,74,1E,E,C
ABCDEGIJ,476,82,1G,G,A
ABCDEGIJ,476,77,1I,I,D
ABCDEGIJ,476,87,1K,K,I
ABCDEGIJ,476,80,1L,L,J
ABCDEGIK,475,79,1A,A,E
ABCDEGIK,475,85,1B,B,G
ABCDEGIK,475,81,1D,D,B
ABCDEGIK,475,74,1E,E,C
ABCDEGIK,475,82,1G,G,A
ABCDEGIK,475,77,1I,I,D
ABCDEGIK,475,87,1K,K,I
ABCDEGIK,475,80,1L,L,K
ABCDEGIL,474,79,1A,A,E
ABCDEGIL,474,85,1B,B,G
ABCDEGIL,474,81,1D,D,B
ABCDEGIL,474,74,1E,E,C
ABCDEGIL,474,82,1G,G,A
ABCDEGIL,474,77,1I,I,D
ABCDEGIL,474,87,1K,K,L
ABCDEGIL,474,80,1L,L,I
ABCDEGJK,473,79,1A,A,E
ABCDEGJK,473,85,1B,B,G
ABCDEGJK,473,81,1D,D,B
ABCDEGJK,473,74,1E,E,C
ABCDEGJK,473,82,1G,G,A
ABCDEGJK,473,77,1I,I,D
ABCDEGJK,473,87,1K,K,J
ABCDEGJK,473,80,1L,L,K
ABCDEGJL,472,79,1A,A,E
ABCDEGJL,472,85,1B,B,G
ABCDEGJL,472,81,1D,D,B
ABCDEGJL,472,74,1E,E,C
ABCDEGJL,472,82,1G,G,A
ABCDEGJL,472,77,1I,I,D
ABCDEGJL,472,87,1K,K,L
ABCDEGJL,472,80,1L,L,J
ABCDEGKL,471,79,1A,A,E
ABCDEGKL,471,85,1B,B,G
ABCDEGKL,471,81,1D,D,B
ABCDEGKL,471,74,1E,E,C
ABCDEGKL,471,82,1G,G,A
ABCDEGKL,471,77,1I,I,D
ABCDEGKL,471,87,1K,K,L
ABCDEGKL,471,80,1L,L,K
ABCDEHIJ,470,79,1A,A,H
ABCDEHIJ,470,85,1B,B,J
ABCDEHIJ,470,81,1D,D,B
ABCDEHIJ,470,74,1E,E,C
ABCDEHIJ,470,82,1G,G,A
ABCDEHIJ,470,77,1I,I,D
ABCDEHIJ,470,87,1K,K,E
ABCDEHIJ,470,80,1L,L,I
ABCDEHIK,469,79,1A,A,H
ABCDEHIK,469,85,1B,B,E
ABCDEHIK,469,81,1D,D,B
ABCDEHIK,469,74,1E,E,C
ABCDEHIK,469,82,1G,G,A
ABCDEHIK,469,77,1I,I,D
ABCDEHIK,469,87,1K,K,I
ABCDEHIK,469,80,1L,L,K
ABCDEHIL,468,79,1A,A,H
ABCDEHIL,468,85,1B,B,E
ABCDEHIL,468,81,1D,D,B
ABCDEHIL,468,74,1E,E,C
ABCDEHIL,468,82,1G,G,A
ABCDEHIL,468,77,1I,I,D
