match_no,date,kickoff_et,home_team,away_team,group_letter,stage,round_label,city,venue,channel_en,channel_es
94,2026-07-06,20:00,TBD,TBD,,r16,Round of 16,Seattle,Lumen Field,FOX,Telemundo
95,2026-07-07,12:00,TBD,TBD,,r16,Round of 16,Atlanta,Mercedes-Benz Stadium,FOX,Telemundo
96,2026-07-07,16:00,TBD,TBD,,r16,Round of 16,Vancouver,BC Place,FOX,Telemundo
97,2026-07-09,16:00,TBD,TBD,,qf,Quarter-final,Boston,Gillette Stadium,FOX,Telemundo
98,2026-07-10,15:00,TBD,TBD,,qf,Quarter-final,Los Angeles,SoFi Stadium,FOX,Telemundo
99,2026-07-11,17:00,TBD,TBD,,qf,Quarter-final,Miami,Hard Rock Stadium,FOX,Telemundo
100,2026-07-11,21:00,TBD,TBD,,qf,Quarter-final,Kansas City,Arrowhead Stadium,FOX,Telemundo
101,2026-07-14,15:00,TBD,TBD,,sf,Semi-final,Dallas,AT&T Stadium,FOX,Telemundo
102,2026-07-15,15:00,TBD,TBD,,sf,Semi-final,Atlanta,Mercedes-Benz Stadium,FOX,Telemundo
103,2026-07-18,17:00,TBD,TBD,,third,Third-place play-off,Miami,Hard Rock Stadium,FOX,Telemundo
104,2026-07-19,15:00,TBD,TBD,,final,Final,New York / NJ,MetLife Stadium,FOX,Telemundo
