rank,player_name,team,position_group,minutes,xg_chain,xg_buildup,xg_chain_p90,xg_buildup_p90
131,Samet Akaydin,Turkey,DEF,355,1.889895238,1.5689707080000002,0.4791283701971831,0.3977672217464789
132,Jonas Older Wind,Denmark,FWD,200,1.886504807,1.007501638,0.8489271631499999,0.45337573709999995
133,Alexander Hartmann Bah,Denmark,DEF,293,1.884627568,1.140942654,0.5788958399999999,0.35046020088737206
134,Milan Škriniar,Slovakia,DEF,425,1.8750839914,1.617437292,0.3970766099435294,0.3425161324235294
135,Peter Pekarík,Slovakia,DEF,409,1.870688296,0.909669855,0.4116429013202934,0.20017185073349633
136,Leroy Sané,Germany,FWD,223,1.867863885,1.45882479,0.753846410986547,0.5887633681614349
137,Răzvan Gabriel Marin,Romania,MID,376,1.867839129,0.860218021,0.4470891532180851,0.20590324970744683
138,Wout Faes,Belgium,DEF,385,1.840050197,1.840050197,0.43014160449350647,0.43014160449350647
139,Jaka Bijol,Slovenia,DEF,412,1.798541333,1.739713468,0.392885242645631,0.3800344954368932
140,Mikel Oyarzabal Ugarte,Spain,FWD,234,1.7908476409999998,0.74702843,0.6887875542307692,0.2873186269230769
141,Przemysław Frankowski,Poland,DEF,288,1.769400865,1.461475155,0.5529377703124999,0.4567109859375
142,Kevin Danso,Austria,DEF,232,1.759225441,1.721813748,0.6824581452155172,0.6679449884482759
143,Willi Orban,Hungary,DEF,296,1.740532883,0.9924810129999999,0.5292160792905405,0.3017678755743243
144,Yannick Ferreira Carrasco,Belgium,MID,229,1.723302584,1.217897255,0.6772804915283842,0.4786495762008734
145,Alexander Prass,Austria,DEF,194,1.720170366,1.487775626,0.7980171801030929,0.6902051873195876
146,Giorgi Kochorashvili,Georgia,MID,389,1.6776543743,0.597297854,0.3881462562647815,0.13819230555269923
147,Mykola Matvienko,Ukraine,DEF,288,1.6462544965,1.5048831345,0.5144545301562501,0.47027597953125
148,Illia Zabarnyi,Ukraine,DEF,288,1.64348525,1.583584415,0.5135891406249999,0.4948701296875
