rank,player_name,team,position_group,minutes,xt,xt_p90
168,Cristiano Ronaldo dos Santos Aveiro,Portugal,FWD,507,0.11856186335643135,0.021046484619484853
169,Peter Pekarík,Slovakia,DEF,409,0.11837341988810404,0.02604794080667326
170,Federico Dimarco,Italy,DEF,239,0.11486337457864444,0.0432539904271046
171,Răzvan Gabriel Marin,Romania,MID,376,0.10980012817767608,0.026281945574443744
172,Jan Mlakar,Slovenia,MID,297,0.10743456468364354,0.032555928692013195
173,Mario Mitaj,Albania,DEF,291,0.1070970636600576,0.03312280319383225
174,Josip Šutalo,Croatia,DEF,295,0.10535621756499258,0.03214257485033672
175,Phil Foden,England,FWD,645,0.10425904665716372,0.01454777395216238
176,Artem Dovbyk,Ukraine,FWD,259,0.10381699811851908,0.03607540475160895
177,Stanislav Lobotka,Slovakia,MID,425,0.10076824104816617,0.021339156927846954
178,Philipp Lienhart,Austria,DEF,222,0.10036526355611758,0.04068862036058821
179,João Maria Lobo Alves Palhinha Gonçalves,Portugal,MID,310,0.09830803503728172,0.028541042430178562
180,Jan Bednarek,Poland,DEF,288,0.0976138974836407,0.030504342963637722
181,Jakub Moder,Poland,MID,198,0.09732525323067509,0.04423875146848867
182,Marius Mihai Marin,Romania,MID,314,0.0943296237527682,0.02703715330493356
183,Ladislav Krejčí,Czech Republic,DEF,296,0.08761397207739009,0.02663938340190915
184,Grant Campbell Hanley,Scotland,DEF,250,0.08720328597186,0.0313931829498696
185,Jack Hendry,Scotland,DEF,295,0.08232350659590973,0.02511564608010805
186,Radu Drăgușin,Romania,DEF,385,0.08187012019126999,0.019138469655102075
187,Vanja Drkušić,Slovenia,DEF,412,0.0812367088701133,0.017745883005607276
188,Nicușor Silviu Bancu,Romania,DEF,288,0.0801772625784448,0.025055394555764002
189,Marin Pongracic,Croatia,DEF,196,0.0797867558493565,0.03663677564511268
190,Milos Kerkez,Hungary,DEF,242,0.07732048760556225,0.028755553241738025
191,Randal Kolo Muani,France,FWD,219,0.07667232140570579,0.031509173180427036
192,Attila Fiola,Hungary,DEF,194,0.07192789379973571,0.033368610525650585
193,Josip Stanišić,Croatia,DEF,196,0.0698958290336198,0.032095023535845826
194,Guram Kashia,Georgia,DEF,389,0.06788351188794346,0.015705696837827538
195,Solomon Kverkvelia,Georgia,DEF,190,0.06769550979185487,0.03206629411193125
196,Anzor Mekvabishvili,Georgia,MID,203,0.06720002226989305,0.02979311332162746
197,Berat Djimsiti,Albania,DEF,291,0.0646847480673941,0.020005592185791992
198,John McGinn,Scotland,FWD,237,0.061908704266586165,0.023509634531615
199,Oleksandr Tymchyk,Ukraine,DEF,215,0.05979539427522018,0.02503063016172008
200,Lukáš Provod,Czech Republic,MID,241,0.05599061969333889,0.020909360051454356
201,David Strelec,Slovakia,FWD,200,0.052042843796210166,0.023419279708294573
202,Andreas Christensen,Denmark,DEF,369,0.051767845789929864,0.012626303851202406
203,Mikel Oyarzabal Ugarte,Spain,FWD,234,0.050032086993363326,0.019243110382062816
204,Orkun Kökçü,Turkey,MID,237,0.04940815115520397,0.01876258904627999
205,Merih Demiral,Turkey,DEF,236,0.04746565618584837,0.018101309562399803
206,Luke Shaw,England,DEF,195,0.045637614004138405,0.021063514155756188
207,Arlind Afrim Ajeti,Albania,DEF,291,0.044779677002428395,0.01384938463992631
208,Adam Gnezda Čerin,Slovenia,MID,412,0.038656283333407045,0.00844433373788018
209,Paweł Dawidowicz,Poland,DEF,192,0.03699587667920162,0.017341817193375762
210,Scott McTominay,Scotland,MID,295,0.030300434373036693,0.009244200317197634
211,Nicolò Barella,Italy,MID,357,0.02538278197838181,0.006399020666818944
212,Harry Kane,England,FWD,629,0.024561183854221763,0.0035143188344673427
213,Billy Gilmour,Scotland,MID,191,0.023267819456862394,0.010963893984908981
214,Andrej Kramarić,Croatia,FWD,246,0.0230427558870417,0.008430276544039647
215,Ylber Ramadani,Albania,MID,277,0.02199132875816542,0.007145197069440028
216,Konrad Laimer,Austria,MID,285,0.013554688760897604,0.004280428029757138
217,Niclas Füllkrug,Germany,UNK,192,0.007097538430279934,0.0033269711391937192
218,Elseid Hysaj,Albania,DEF,197,-0.0016178134298716453,-0.0007391025821748633
219,Davide Frattesi,Italy,MID,204,-0.0018899088650200877,-0.0008337833228029799
220,Jorge Luiz Frello Filho,Italy,MID,223,-0.007377862471894337,-0.002977612656818342
221,Luka Lochoshvili,Georgia,DEF,186,-0.00875493277251621,-0.004236257793153005
